"subjIndx","trial_RT","trial_blockType","trial_response","trial_limbside","trial_randSOA","trial_correct","trial_int","trial_actualIntensity","trial_crossed_legs","trial_crossed_hand",
1,0.38931,1,1,1,1.6887,1,2,0.26874,0,0,
1,0.33653,1,1,1,1.3209,1,2,0.26302,0,0,
1,0.36839,1,1,1,1.5316,1,1,0.086302,0,0,
1,0.23466,1,2,1,1.8732,0,1,0.095222,0,0,
1,0.3596,1,1,1,1.0545,1,2,0.27501,0,0,
1,0.47606,1,2,2,1.5004,1,2,0.11645,0,0,
1,0.29863,1,1,1,1.4328,1,2,0.27698,0,0,
1,0.62729,1,1,1,1.9043,1,2,0.28107,0,0,
1,0.38095,1,2,2,1.6302,1,2,0.11586,0,0,
1,0.12079,1,2,1,1.983,0,2,0.27787,0,0,
1,0.44006,1,2,2,1.5852,1,2,0.11415,0,0,
1,0.3219,1,1,1,1.8406,1,1,0.095504,0,0,
1,0.29904,1,1,1,1.4688,1,2,0.27848,0,0,
1,1.0205,1,2,2,1.5452,1,1,0.037888,0,0,
1,0.29245,1,1,1,1.1791,1,1,0.089996,0,0,
1,0.40181,1,2,2,1.6345,1,2,0.11993,0,0,
1,0.29592,1,2,2,1.963,1,2,0.1241,0,0,
1,0.31954,1,1,1,1.534,1,1,0.090898,0,0,
1,0.30832,1,1,1,1.4796,1,2,0.27576,0,0,
1,0.34563,1,1,1,1.7937,1,1,0.092497,0,0,
1,0.42924,1,1,1,1.0927,1,1,0.095114,0,0,
1,0.13646,1,2,1,1.8808,0,1,0.087042,0,0,
1,0.40463,1,1,1,1.0039,1,1,0.089613,0,0,
1,0.47798,1,2,2,1.5115,1,1,0.038528,0,0,
1,0.11468,1,2,1,1.6785,0,1,0.092636,0,0,
1,1.2864,1,2,2,1.5657,1,1,0.04118,0,0,
1,0.4052,1,2,2,1.4785,1,2,0.11798,0,0,
1,0.38137,1,2,2,1.3205,1,2,0.12234,0,0,
1,0.30568,1,2,2,1.6016,1,2,0.11577,0,0,
1,0.31908,1,1,1,1.9132,1,2,0.27334,0,0,
1,0.33921,1,1,1,1.6825,1,1,0.089439,0,0,
1,0.29565,1,2,2,1.9467,1,2,0.12363,0,0,
1,0.41894,1,2,2,1.0991,1,2,0.12053,0,0,
1,NaN,1,0,2,1.511,NaN,1,0.040886,0,0,
1,0.35356,1,2,2,1.1101,1,2,0.11292,0,0,
1,0.28292,1,1,1,1.5453,1,1,0.088318,0,0,
1,0.36457,1,2,2,1.6888,1,2,0.1218,0,0,
1,0.31952,1,1,1,1.1474,1,2,0.26303,0,0,
1,0.26132,1,1,1,1.7776,1,2,0.25758,0,0,
1,0.27949,1,1,1,1.3991,1,2,0.2698,0,0,
1,0.28472,1,1,1,1.8983,1,2,0.28579,0,0,
1,1.2901,1,2,2,1.307,1,1,0.038305,0,0,
1,0.35832,1,2,2,1.0611,1,2,0.11906,0,0,
1,0.36005,1,2,2,1.2195,1,2,0.11621,0,0,
1,0.392,1,2,2,1.0828,1,2,0.11185,0,0,
1,0.34946,1,1,1,1.9504,1,1,0.090596,0,0,
1,1.2651,1,2,2,1.0164,1,1,0.040879,0,0,
1,0.25245,1,1,1,1.1147,1,2,0.26434,0,0,
1,1.4463,1,2,2,1.0124,1,1,0.037364,0,0,
1,0.29265,1,1,1,1.2162,1,2,0.26396,0,0,
1,1.3458,1,2,2,1.0114,1,1,0.040104,0,0,
1,1.1198,1,2,2,1.6424,1,1,0.038603,0,0,
1,0.41306,1,1,1,1.517,1,1,0.09227,0,0,
1,0.35963,1,2,2,1.2455,1,2,0.11167,0,0,
1,0.6476,1,2,2,1.1937,1,1,0.04037,0,0,
1,0.42572,1,2,2,1.0909,1,2,0.11664,0,0,
1,0.3984,1,1,2,1.3684,0,1,0.03731,0,0,
1,0.33413,1,1,1,1.0078,1,1,0.089616,0,0,
1,0.051482,1,2,1,1.6027,0,2,0.27863,0,0,
1,0.29814,1,1,1,1.4789,1,2,0.28528,0,0,
1,0.3072,1,2,2,1.3081,1,2,0.12488,0,0,
1,0.78628,1,1,1,1.7444,1,1,0.095776,0,0,
1,0.12438,1,2,1,1.8393,0,1,0.09482,0,0,
1,0.26769,1,1,1,1.2624,1,2,0.28346,0,0,
1,0.26191,1,1,1,1.5142,1,2,0.28136,0,0,
1,0.30776,1,2,2,1.4468,1,2,0.11886,0,0,
1,0.29427,1,2,2,1.3412,1,2,0.11701,0,0,
1,0.36504,1,2,2,1.8391,1,2,0.11314,0,0,
1,0.096985,1,2,2,1.9825,1,1,0.040076,0,0,
1,0.31393,1,1,1,1.6265,1,1,0.094468,0,0,
1,0.30372,1,1,1,1.1813,1,2,0.26481,0,0,
1,0.8763,1,2,2,1.123,1,1,0.040941,0,0,
1,0.31673,1,1,1,1.58,1,1,0.086223,0,0,
1,0.88914,1,1,2,1.3285,0,1,0.038823,0,0,
1,1.9558,1,2,2,1.2682,1,1,0.038332,0,0,
1,0.27536,1,1,1,1.5502,1,2,0.26113,0,0,
1,1.269,1,2,2,1.1805,1,1,0.039967,0,0,
1,0.49716,1,2,2,1.6785,1,1,0.038545,0,0,
1,0.3377,1,1,1,1.0557,1,2,0.28653,0,0,
1,0.92789,1,2,2,1.0341,1,1,0.039363,0,0,
1,0.36009,1,2,2,1.2865,1,2,0.1214,0,0,
1,0.32106,1,1,1,1.0774,1,2,0.25695,0,0,
1,0.24841,1,2,2,1.9006,1,2,0.11955,0,0,
1,0.12961,1,2,2,1.8466,1,2,0.11915,0,0,
1,0.29663,1,2,2,1.3957,1,2,0.12236,0,0,
1,0.6775,1,2,2,1.1692,1,1,0.040078,0,0,
1,0.61836,1,2,2,1.4305,1,1,0.041121,0,0,
1,0.26451,1,1,1,1.4162,1,1,0.094887,0,0,
1,0.40002,1,1,1,1.7288,1,1,0.087036,0,0,
1,0.35252,1,1,1,1.4065,1,1,0.087441,0,0,
1,0.04521,1,2,2,1.9518,1,1,0.04071,0,0,
1,0.038903,1,2,1,1.912,0,1,0.086123,0,0,
1,0.13976,1,2,1,1.9514,0,1,0.089449,0,0,
1,1.7029,1,2,2,1.346,1,1,0.038473,0,0,
1,0.36796,1,1,1,1.2902,1,1,0.093067,0,0,
1,0.38184,1,2,2,1.8867,1,1,0.037615,0,0,
1,0.35574,1,1,1,1.21,1,2,0.28108,0,0,
1,1.0368,1,2,2,1.1309,1,1,0.040672,0,0,
1,0.2754,1,1,1,1.5205,1,2,0.27279,0,0,
1,0.068314,1,2,2,1.9055,1,1,0.038267,0,0,
1,0.86892,1,2,1,1.4352,1,1,0.088446,0,1,
1,0.40921,1,2,1,1.1577,1,2,0.27563,0,1,
1,0.25115,1,2,1,1.6005,1,1,0.092871,0,1,
1,0.53464,1,2,1,1.9375,1,2,0.265,0,1,
1,1.0258,1,1,2,1.1078,1,1,0.038973,0,1,
1,0.34612,1,1,1,1.9,0,1,0.089165,0,1,
1,1.1175,1,1,2,1.5505,1,1,0.040665,0,1,
1,0.29188,1,2,2,1.4274,0,2,0.11325,0,1,
1,0.50815,1,1,2,1.1524,1,2,0.1237,0,1,
1,0.63968,1,2,1,1.2475,1,2,0.26527,0,1,
1,0.6432,1,2,1,1.4474,1,1,0.090587,0,1,
