"trial_RT","trial_blockType","trial_response","trial_limbside","trial_randSOA","trial_correct","trial_int","trial_actualIntensity","trial_crossed_legs","trial_crossed_hand","trial_handpos",
0.49332,1,2,2,1.93,1,1,0.22251,0,0,2,
0.49782,1,2,2,1.5293,1,2,0.64377,0,0,2,
0.34381,1,1,1,1.6265,1,2,0.75858,0,0,2,
0.2881,1,2,2,1.6808,1,1,0.21914,0,0,2,
0.35372,1,1,1,1.9232,1,2,0.73957,0,0,2,
0.36925,1,2,2,1.1528,1,2,0.62166,0,0,2,
0.37066,1,2,2,1.4057,1,1,0.22185,0,0,2,
0.39159,1,2,2,1.3125,1,1,0.22111,0,0,2,
0.4646,1,2,2,1.6939,1,1,0.22707,0,0,2,
0.3638,1,1,1,1.8907,1,1,0.24416,0,0,2,
0.351,1,1,1,1.4907,1,2,0.75155,0,0,2,
0.29913,1,1,1,1.8058,1,2,0.75364,0,0,2,
0.30117,1,1,1,1.3264,1,1,0.23043,0,0,2,
0.34092,1,2,2,1.5499,1,1,0.21155,0,0,2,
0.29098,1,2,2,1.3888,1,2,0.67992,0,0,2,
0.32864,1,1,1,1.8968,1,2,0.68404,0,0,2,
0.34443,1,1,1,1.6761,1,1,0.23682,0,0,2,
0.26275,1,1,1,1.8284,1,2,0.70315,0,0,2,
0.46188,1,1,1,1.1101,1,1,0.2464,0,0,2,
0.3397,1,2,2,1.2792,1,1,0.20941,0,0,2,
0.33135,1,1,1,1.7676,1,1,0.24806,0,0,2,
0.33535,1,1,1,1.2161,1,2,0.74333,0,0,2,
0.38897,1,2,2,1.0341,1,1,0.21999,0,0,2,
0.31533,1,1,1,1.4366,1,1,0.23313,0,0,2,
0.32639,1,2,2,1.9369,1,1,0.20861,0,0,2,
0.36025,1,1,1,1.2621,1,1,0.24334,0,0,2,
0.29467,1,1,1,1.5697,1,1,0.22707,0,0,2,
0.35831,1,2,2,1.3596,1,1,0.2084,0,0,2,
0.41788,1,2,2,1.0268,1,2,0.63008,0,0,2,
0.42492,1,1,1,1.5004,1,2,0.71545,0,0,2,
0.2919,1,1,1,1.827,1,2,0.73395,0,0,2,
0.34897,1,2,2,1.259,1,1,0.22835,0,0,2,
0.3728,1,2,2,1.0459,1,2,0.65741,0,0,2,
0.2994,1,1,1,1.2465,1,1,0.2277,0,0,2,
0.30982,1,1,1,1.6607,1,2,0.70427,0,0,2,
0.3314,1,2,2,1.3294,1,2,0.66833,0,0,2,
0.27898,1,1,1,1.6595,1,1,0.24788,0,0,2,
0.36355,1,1,1,1.013,1,2,0.70227,0,0,2,
0.26631,1,1,1,1.7181,1,1,0.23978,0,0,2,
0.36673,1,2,2,1.3911,1,1,0.22736,0,0,2,
0.35142,1,2,2,1.0335,1,2,0.66477,0,0,2,
0.28585,1,1,1,1.406,1,2,0.72255,0,0,2,
0.31436,1,2,2,1.7163,1,1,0.21495,0,0,2,
0.34395,1,2,2,1.9213,1,1,0.21696,0,0,2,
0.37875,1,1,1,1.984,1,1,0.2481,0,0,2,
0.32312,1,1,1,1.9834,1,1,0.23555,0,0,2,
0.37742,1,2,2,1.8963,1,1,0.21823,0,0,2,
0.39128,1,2,2,1.8657,1,2,0.64759,0,0,2,
0.85015,1,2,2,1.801,1,2,0.67126,0,0,2,
0.4177,1,1,1,1.555,1,2,0.72516,0,0,2,
0.40333,1,2,2,1.4189,1,2,0.66912,0,0,2,
0.4394,1,2,2,1.1271,1,2,0.65685,0,0,2,
0.2731,1,1,1,1.6546,1,2,0.71116,0,0,2,
0.28572,1,2,2,1.864,1,2,0.65582,0,0,2,
0.36744,1,2,2,1.2746,1,2,0.62552,0,0,2,
0.37487,1,2,2,1.8402,1,2,0.65082,0,0,2,
0.4358,1,1,1,1.0708,1,1,0.25315,0,0,2,
0.41723,1,1,1,1.3788,1,2,0.74316,0,0,2,
0.31783,1,2,2,1.2682,1,2,0.67509,0,0,2,
0.3856,1,1,1,1.1529,1,1,0.24729,0,0,2,
0.87315,1,1,1,1.7535,1,1,0.2383,0,1,2,
0.53996,1,1,1,1.836,1,1,0.22879,0,1,2,
0.39269,1,1,1,1.2537,1,2,0.74006,0,1,2,
0.43061,1,2,2,1.5344,1,1,0.20769,0,1,2,
0.49354,1,1,1,1.4352,1,1,0.23791,0,1,2,
0.4403,1,2,2,1.1577,1,2,0.62341,0,1,2,
0.38234,1,2,2,1.6005,1,2,0.69455,0,1,2,
0.37724,1,1,1,1.9375,1,1,0.24046,0,1,2,
0.41968,1,2,2,1.1078,1,2,0.68928,0,1,2,
0.39057,1,1,1,1.9,1,1,0.23664,0,1,2,
0.38957,1,2,2,1.5505,1,1,0.22909,0,1,2,
0.53462,1,2,2,1.4274,1,1,0.21308,0,1,2,
0.44685,1,1,1,1.1524,1,1,0.25141,0,1,2,
0.63504,1,2,2,1.2475,1,2,0.68808,0,1,2,
0.43336,1,2,2,1.4474,1,1,0.21663,0,1,2,
0.46812,1,2,2,1.5328,1,2,0.66706,0,1,2,
0.41568,1,2,2,1.3547,1,2,0.66266,0,1,2,
0.66568,1,2,2,1.7731,1,2,0.68808,0,1,2,
0.3422,1,2,2,1.8817,1,2,0.63624,0,1,2,
0.41223,1,1,1,1.7341,1,2,0.67958,0,1,2,
0.47399,1,2,2,1.4064,1,2,0.68698,0,1,2,
0.47198,1,2,2,1.6042,1,1,0.21259,0,1,2,
0.45443,1,2,2,1.6411,1,2,0.63849,0,1,2,
0.56676,1,2,2,1.1275,1,1,0.22276,0,1,2,
0.47102,1,1,1,1.4962,1,1,0.23451,0,1,2,
0.4678,1,1,1,1.3105,1,2,0.74701,0,1,2,
0.45526,1,2,2,1.5786,1,1,0.22907,0,1,2,
0.42193,1,1,1,1.9436,1,2,0.75738,0,1,2,
0.6017,1,1,1,1.4269,1,1,0.23685,0,1,2,
0.49133,1,2,2,1.0331,1,2,0.68073,0,1,2,
0.38673,1,1,1,1.9294,1,1,0.23056,0,1,2,
0.48469,1,1,1,1.925,1,2,0.72997,0,1,2,
0.088655,1,1,2,1.3583,0,1,0.22425,0,1,2,
0.10532,1,1,1,1.26,1,2,0.68603,0,1,2,
0.46088,1,2,2,1.7869,1,2,0.65989,0,1,2,
0.53898,1,2,2,1.5116,1,2,0.68761,0,1,2,
0.55085,1,2,2,1.5625,1,1,0.21329,0,1,2,
0.48107,1,1,1,1.6848,1,2,0.69789,0,1,2,
0.62772,1,1,1,1.0924,1,2,0.74822,0,1,2,
0.46388,1,2,2,1.8726,1,1,0.21906,0,1,2,
0.46791,1,2,2,1.9429,1,1,0.21058,0,1,2,
0.48618,1,2,2,1.0966,1,1,0.21249,0,1,2,
0.6222,1,1,1,1.8459,1,2,0.73273,0,1,2,
0.38649,1,1,1,1.9094,1,1,0.24159,0,1,2,
0.55229,1,1,1,1.0113,1,1,0.23416,0,1,2,
1.0827,1,1,1,1.5237,1,2,0.72973,0,1,2,
0.59218,1,1,1,1.6503,1,2,0.73764,0,1,2,
0.44786,1,1,1,1.3851,1,1,0.23386,0,1,2,
0.4199,1,1,1,1.6493,1,2,0.7123,0,1,2,
0.42541,1,1,1,1.7629,1,1,0.23607,0,1,2,
0.38993,1,1,1,1.5757,1,1,0.24774,0,1,2,
0.36185,1,1,1,1.6319,1,2,0.68996,0,1,2,
0.53755,1,1,1,1.2782,1,1,0.25121,0,1,2,
0.35139,1,2,2,1.8398,1,1,0.21393,0,1,2,
0.37208,1,2,2,1.4268,1,1,0.21916,0,1,2,
0.41927,1,2,2,1.6316,1,2,0.67935,0,1,2,
0.36959,1,1,1,1.8335,1,2,0.73435,0,1,2,
0.36227,1,1,1,1.2702,1,2,0.6911,0,1,2,
