"subjIndx","trial_RT","trial_blockType","trial_response","trial_limbside","trial_randSOA","trial_correct","trial_int","trial_actualIntensity","trial_crossed_legs","trial_crossed_hand",
1,0.31008,1,2,2,1.1465,1,1,0.15393,0,0,
1,0.2482,1,2,2,1.6311,1,2,0.44376,0,0,
1,0.28733,1,2,2,1.8593,1,1,0.16159,0,0,
1,0.34506,1,1,1,1.9742,1,1,0.12252,0,0,
1,0.30606,1,1,1,1.5708,1,1,0.12042,0,0,
1,0.28585,1,2,2,1.9969,1,1,0.16165,0,0,
1,0.25716,1,2,2,1.5535,1,2,0.46924,0,0,
1,0.2836,1,2,2,1.5155,1,2,0.45835,0,0,
1,0.30229,1,2,2,1.3307,1,1,0.15976,0,0,
1,0.31941,1,2,2,1.43,1,2,0.46263,0,0,
1,0.26995,1,2,2,1.4918,1,2,0.46376,0,0,
1,0.34074,1,1,1,1.071,1,2,0.37136,0,0,
1,0.37069,1,1,1,1.8877,1,2,0.35822,0,0,
1,0.39587,1,1,1,1.0646,1,2,0.35298,0,0,
1,0.33557,1,1,1,1.4362,1,2,0.36706,0,0,
1,0.45638,1,2,2,1.8266,1,1,0.16026,0,0,
1,0.30476,1,2,2,1.3945,1,2,0.45597,0,0,
1,0.32222,1,2,2,1.6135,1,1,0.14693,0,0,
1,0.31762,1,1,1,1.8186,1,2,0.3614,0,0,
1,0.37965,1,1,1,1.8862,1,1,0.11849,0,0,
1,0.47785,1,1,1,1.9311,1,1,0.11988,0,0,
1,0.30684,1,2,2,1.1908,1,2,0.47892,0,0,
1,0.32572,1,2,2,1.2586,1,1,0.15194,0,0,
1,0.30339,1,1,1,1.8979,1,2,0.35917,0,0,
1,0.26899,1,2,2,1.5934,1,2,0.45355,0,0,
1,0.26979,1,2,2,1.5038,1,1,0.1474,0,0,
1,0.2655,1,2,2,1.6128,1,1,0.14945,0,0,
1,0.28787,1,1,1,1.8194,1,1,0.11561,0,0,
1,0.23787,1,2,2,1.5319,1,2,0.45716,0,0,
1,0.41737,1,1,1,1.2021,1,1,0.11791,0,0,
1,0.25045,1,2,2,1.4539,1,2,0.45027,0,0,
1,0.24768,1,1,1,1.4279,1,1,0.1202,0,0,
1,0.25293,1,2,2,1.9661,1,1,0.14704,0,0,
1,0.30047,1,2,2,1.6201,1,1,0.15354,0,0,
1,0.23284,1,1,1,1.6954,1,2,0.37249,0,0,
1,0.2529,1,2,2,1.7202,1,2,0.44748,0,0,
1,0.29991,1,1,1,1.3469,1,2,0.37588,0,0,
1,0.29141,1,2,2,1.517,1,1,0.14628,0,0,
1,0.29158,1,1,1,1.5567,1,2,0.35932,0,0,
1,0.30761,1,2,2,1.1565,1,1,0.14509,0,0,
1,0.23904,1,1,1,1.5621,1,1,0.11741,0,0,
1,0.20945,1,2,2,1.6948,1,2,0.43517,0,0,
1,0.28945,1,2,2,1.4265,1,1,0.14823,0,0,
1,0.2599,1,2,2,1.8363,1,1,0.14744,0,0,
1,0.28106,1,2,2,1.7314,1,1,0.14958,0,0,
1,0.33683,1,1,1,1.36,1,1,0.11679,0,0,
1,0.28788,1,1,1,1.4542,1,2,0.34892,0,0,
1,0.28248,1,2,2,1.3864,1,1,0.15539,0,0,
1,0.23355,1,1,1,1.7756,1,2,0.38093,0,0,
1,0.2705,1,2,2,1.7343,1,1,0.1616,0,0,
1,0.29431,1,1,1,1.4303,1,2,0.35225,0,0,
1,0.26373,1,2,2,1.6938,1,1,0.15332,0,0,
1,0.20616,1,1,1,1.9452,1,1,0.11953,0,0,
1,0.20287,1,2,1,1.7842,0,2,0.36474,0,0,
1,0.25156,1,2,2,1.7056,1,2,0.44858,0,0,
1,0.25791,1,1,1,1.1093,1,2,0.34611,0,0,
1,0.35035,1,1,1,1.3899,1,1,0.12036,0,0,
1,0.2494,1,2,2,1.5909,1,2,0.44391,0,0,
1,0.29133,1,2,2,1.4594,1,2,0.43642,0,0,
1,1.0062,1,1,1,1.0503,1,2,0.38329,0,0,
1,0.55016,1,1,1,1.2287,1,1,0.12028,0,0,
1,0.51703,1,1,1,1.8342,1,2,0.38359,0,0,
1,0.68426,1,2,2,1.0156,1,1,0.15834,0,0,
1,0.23718,1,2,2,1.8637,1,2,0.43548,0,0,
1,0.48592,1,1,1,1.0781,1,1,0.12379,0,0,
