"subjIndx","trial_RT","trial_blockType","trial_response","trial_limbside","trial_randSOA","trial_correct","trial_int","trial_actualIntensity","trial_crossed_legs","trial_crossed_hand",
32,0.52093,2,2,2,1.1465,1,1,0.090538,1,0,
32,0.40184,2,2,2,1.6311,1,2,0.26101,1,0,
32,0.31932,2,2,2,1.8593,1,1,0.095041,1,0,
32,0.56256,2,1,1,1.9742,1,1,0.15425,1,0,
32,0.34772,2,1,1,1.5708,1,1,0.15161,1,0,
32,0.48449,2,2,2,1.9969,1,1,0.095078,1,0,
32,0.41467,2,2,2,1.5535,1,2,0.276,1,0,
32,0.44076,2,2,2,1.5155,1,2,0.26959,1,0,
32,0.30341,2,2,2,1.3307,1,1,0.093966,1,0,
32,0.34302,2,2,2,1.43,1,2,0.27211,1,0,
32,0.24665,2,2,2,1.4918,1,2,0.27277,1,0,
32,0.46975,2,1,1,1.071,1,2,0.46755,1,0,
32,0.42715,2,1,1,1.8877,1,2,0.451,1,0,
32,0.59407,2,1,1,1.0646,1,2,0.44441,1,0,
32,0.31579,2,1,1,1.4362,1,2,0.46213,1,0,
32,0.44624,2,2,2,1.8266,1,1,0.09426,1,0,
32,0.32869,2,1,2,1.3945,0,2,0.26819,1,0,
32,0.50144,2,2,2,1.6135,1,1,0.08642,1,0,
32,0.41496,2,1,1,1.8186,1,2,0.455,1,0,
32,0.3583,2,2,1,1.8862,0,1,0.14918,1,0,
32,0.76484,2,1,1,1.9311,1,1,0.15093,1,0,
32,0.65037,2,2,2,1.1908,1,2,0.28169,1,0,
32,0.44659,2,1,2,1.2586,0,1,0.089365,1,0,
32,0.27547,2,2,1,1.8979,0,2,0.4522,1,0,
32,0.52366,2,2,2,1.5934,1,2,0.26676,1,0,
32,0.50199,2,2,2,1.5038,1,1,0.086696,1,0,
32,0.80751,2,2,2,1.6128,1,1,0.0879,1,0,
32,0.52605,2,1,1,1.8194,1,1,0.14556,1,0,
32,0.42453,2,2,2,1.5319,1,2,0.26889,1,0,
32,0.34042,2,1,1,1.2021,1,1,0.14844,1,0,
32,0.27938,2,2,2,1.4539,1,2,0.26484,1,0,
32,0.38922,2,1,1,1.4279,1,1,0.15134,1,0,
32,0.76237,2,2,2,1.9661,1,1,0.086486,1,0,
32,0.42791,2,2,2,1.6201,1,1,0.09031,1,0,
32,0.36455,2,1,1,1.6954,1,2,0.46897,1,0,
32,0.33495,2,2,2,1.7202,1,2,0.2632,1,0,
32,0.40223,2,1,1,1.3469,1,2,0.47323,1,0,
32,0.32546,2,2,2,1.517,1,1,0.086038,1,0,
32,0.30435,2,1,1,1.5567,1,2,0.45239,1,0,
32,0.46215,2,2,2,1.1565,1,1,0.08534,1,0,
32,0.38151,2,1,1,1.5621,1,1,0.14782,1,0,
32,0.31905,2,2,2,1.6948,1,2,0.25596,1,0,
32,0.65861,2,1,2,1.4265,0,1,0.087185,1,0,
32,0.38155,2,2,2,1.8363,1,1,0.086718,1,0,
32,0.3368,2,2,2,1.7314,1,1,0.087981,1,0,
32,0.86623,2,1,1,1.36,1,1,0.14704,1,0,
32,0.50424,2,1,1,1.4542,1,2,0.43929,1,0,
32,1.2271,2,2,2,1.3864,1,1,0.091396,1,0,
32,0.48429,2,1,1,1.7756,1,2,0.47959,1,0,
32,0.34583,2,2,2,1.7343,1,1,0.09505,1,0,
32,0.39729,2,1,1,1.4303,1,2,0.44349,1,0,
32,0.69373,2,2,2,1.6938,1,1,0.090182,1,0,
32,0.43034,2,1,1,1.9452,1,1,0.15049,1,0,
32,0.89137,2,1,1,1.7842,1,2,0.45921,1,0,
32,0.41607,2,2,2,1.7056,1,2,0.26385,1,0,
32,0.52392,2,1,1,1.1093,1,2,0.43575,1,0,
32,0.44344,2,1,1,1.3899,1,1,0.15154,1,0,
32,0.6149,2,2,2,1.5909,1,2,0.26109,1,0,
32,0.74036,2,2,2,1.4594,1,2,0.25669,1,0,
32,0.64755,2,2,1,1.0503,0,2,0.48256,1,0,
32,0.57289,2,1,1,1.2287,1,1,0.15144,1,0,
32,0.50517,2,1,1,1.8342,1,2,0.48295,1,0,
32,0.41399,2,2,2,1.0156,1,1,0.093133,1,0,
32,0.41523,2,2,2,1.8637,1,2,0.25614,1,0,
32,0.99087,2,1,1,1.0781,1,1,0.15585,1,0,
32,0.55891,2,1,1,1.669,1,2,0.46894,1,0,
32,0.61368,2,1,1,1.5002,1,1,0.15522,1,0,
32,0.48514,2,1,1,1.218,1,1,0.15357,1,0,
32,0.44968,2,1,1,1.5716,1,2,0.44333,1,0,
32,0.44816,2,1,1,1.1222,1,1,0.15751,1,0,
32,0.6145,2,2,2,1.6712,1,2,0.26273,1,0,
32,0.33609,2,1,1,1.5996,1,2,0.45119,1,0,
32,0.42452,2,2,1,1.056,0,1,0.15968,1,0,
32,0.46587,2,1,1,1.0563,1,2,0.47713,1,0,
32,0.40206,2,2,2,1.1525,1,1,0.089352,1,0,
32,0.38272,2,1,1,1.0196,1,1,0.14949,1,0,
32,0.78678,2,1,1,1.4352,1,1,0.15457,1,0,
32,0.4477,2,2,2,1.8322,1,2,0.28419,1,0,
32,0.49933,2,2,2,1.6174,1,2,0.28416,1,0,
32,0.5387,2,1,1,1.5201,1,2,0.46281,1,0,
32,0.37835,2,2,2,1.8639,1,2,0.26591,1,0,
32,0.54005,2,1,1,1.0977,1,1,0.15898,1,0,
32,0.56414,2,1,1,1.9081,1,2,0.45493,1,0,
32,0.45097,2,2,2,1.108,1,2,0.284,1,0,
32,0.54036,2,1,2,1.517,0,1,0.085633,1,0,
32,0.55707,2,2,2,1.1432,1,2,0.2721,1,0,
32,0.46296,2,1,1,1.5594,1,1,0.1565,1,0,
32,0.55861,2,2,2,1.0046,1,1,0.087086,1,0,
32,0.4765,2,1,1,1.7667,1,2,0.44941,1,0,
32,0.54951,2,1,1,1.8487,1,2,0.44178,1,0,
32,0.4962,2,2,2,1.9168,1,2,0.26558,1,0,
32,0.43617,2,1,1,1.987,1,1,0.15097,1,0,
32,0.49643,2,1,1,1.5051,1,1,0.15351,1,0,
32,0.48931,2,1,1,1.2714,1,1,0.14492,1,0,
32,0.46519,2,2,2,1.1008,1,2,0.27274,1,0,
32,0.43168,2,1,1,1.5078,1,2,0.44623,1,0,
32,0.57626,2,2,2,1.5856,1,1,0.087712,1,0,
32,0.76241,2,2,2,1.7629,1,2,0.26319,1,0,
32,0.46621,2,1,1,1.083,1,1,0.14669,1,0,
32,1.0291,2,2,2,1.6616,1,1,0.095237,1,0,
32,0.5471,2,2,1,1.3209,1,2,0.46105,1,1,
32,0.81405,2,2,2,1.5114,0,1,0.093071,1,1,
32,0.49127,2,1,2,1.0606,1,2,0.287,1,1,
32,0.35023,2,1,2,1.7257,1,2,0.28591,1,1,
32,0.3026,2,1,2,1.5566,1,2,0.27218,1,1,
32,0.2995,2,1,2,1.5294,1,1,0.095319,1,1,
32,0.34356,2,1,2,1.83,1,1,0.08645,1,1,
32,0.26985,2,1,2,1.8588,1,2,0.25744,1,1,
32,0.7129,2,2,1,1.789,1,1,0.14925,1,1,
32,0.38533,2,1,2,1.3178,1,1,0.0912,1,1,
32,0.36537,2,2,1,1.4522,1,2,0.45959,1,1,
32,0.55997,2,2,1,1.7522,1,1,0.15987,1,1,
32,0.44794,2,1,2,1.1099,1,2,0.27235,1,1,
32,0.46385,2,1,2,1.1097,1,2,0.26897,1,1,
32,0.39434,2,1,2,1.2699,1,2,0.27242,1,1,
